Facies,Formation,Well Name,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS
3,Tymen,X8,2899.3,86.06399536,6.01940012,2.584399939,2.506000042,309.3568726,1,1
3,Tymen,X8,2899.4,85.73400116,6.304600239,2.606400013,2.506000042,306.3806763,1,1
3,Tymen,X8,2899.5,85.28079987,6.581999779,2.628399849,2.506999969,302.4436035,1,1
3,Tymen,X8,2899.6,84.33479309,6.689100266,2.640399933,2.50549984,297.1340942,1,1
3,Tymen,X8,2899.7,83.38879395,6.779000282,2.609999895,2.506500006,289.8776855,1,1
3,Tymen,X8,2899.8,82.44280243,6.931099892,2.569999933,2.510500193,279.9249878,1,1
3,Tymen,X8,2899.9,81.49680328,6.923600197,2.529999971,2.507499933,266.3569031,1,1
3,Tymen,X8,2900,80.51999664,6.983099937,2.489999771,2.501999855,248.1519012,1,1
3,Tymen,X8,2900.1,79.41999054,7.534500122,2.462800026,2.497499943,224.3986969,1,1
3,Tymen,X8,2900.2,78.31999207,8.216899872,2.490000248,2.493999958,194.6502075,1,1
2,Tymen,X8,2900.3,77.22000122,9.122999191,2.53000021,2.491499901,159.3887024,1,1
2,Tymen,X8,2900.4,76.12000275,8.97840023,2.570000172,2.479000092,120.5289001,1,1
2,Tymen,X8,2900.5,74.98480225,8.564100266,2.610000134,2.458499908,81.77000427,1,1
2,Tymen,X8,2900.6,73.70880127,8.502099991,2.647800207,2.438999891,48.3348999,1,1
2,Tymen,X8,2900.7,72.43280029,8.644000053,2.676200151,2.428499937,25.74139977,1,1
2,Tymen,X8,2900.8,71.15679932,11.89099979,2.702200174,2.42599988,18.05200005,1,1
2,Tymen,X8,2900.9,69.88079834,9.954999924,2.728200197,2.426000118,26.79870033,1,1
2,Tymen,X8,2901,69.06240845,9.390399933,2.754199982,2.434000015,51.1588974,1,1
2,Tymen,X8,2901.1,70.07440186,8.707099915,2.773999929,2.450000048,88.4621048,1,1
2,Tymen,X8,2901.2,71.08640289,8.147199631,2.767599821,2.459500074,133.9664917,1,1
2,Tymen,X8,2901.3,72.0983963,7.677199841,2.755599976,2.462000132,180.6861115,1,1
2,Tymen,X8,2901.4,73.11039734,7.317799568,2.743599892,2.457000017,220.9850006,1,1
2,Tymen,X8,2901.5,73.98600006,7.329800129,2.731599808,2.463999987,249.7442932,1,1
2,Tymen,X8,2901.6,74.31600952,7.548299789,2.722800016,2.479000092,266.4302063,1,1
2,Tymen,X8,2901.7,74.64600372,7.664700031,2.727600098,2.491000175,274.1951904,1,1
2,Tymen,X8,2901.8,74.97599792,7.626399994,2.735599995,2.507500172,277.120697,1,1
2,Tymen,X8,2901.9,75.30599976,7.542699814,2.74360013,2.50999999,278.1286316,1,1
2,Tymen,X8,2902,75.80319977,7.477300167,2.751599789,2.50150013,278.6116943,1,1
2,Tymen,X8,2902.1,76.96920013,7.379199982,2.751599789,2.496500015,279.052887,1,1
2,Tymen,X8,2902.2,78.1352005,7.18900013,2.717600107,2.502000093,279.6289063,1,1
2,Tymen,X8,2902.3,79.30120087,7.081699848,2.675600052,2.513999939,280.4548035,1,1
2,Tymen,X8,2902.4,80.46720123,7.091799736,2.633599997,2.516499996,281.6173096,1,1
2,Tymen,X8,2902.5,80.98200226,7.130000114,2.591599941,2.50999999,283.157196,1,1
2,Tymen,X8,2902.6,78.89199829,7.838700294,2.5552001,2.505999804,285.0844116,1,1
2,Tymen,X8,2902.7,76.80200195,13.30079937,2.542399883,2.500499964,287.4077148,1,1
2,Tymen,X8,2902.8,74.71199799,7.921200275,2.534399986,2.495999813,290.1334229,1,1
2,Tymen,X8,2902.9,72.62199402,7.508100033,2.526400089,2.485499859,293.190094,1,1
2,Tymen,X8,2903,70.86640167,7.860899925,2.518400192,2.46600008,296.3106079,1,1
2,Tymen,X8,2903.1,70.44839478,8.229100227,2.497799873,2.443500042,298.9648132,1,1
2,Tymen,X8,2903.2,70.03039551,8.590900421,2.423799992,2.424000025,300.4427185,1,1
7,Tymen,X8,2903.3,69.61239624,8.942000389,2.337800026,2.401000023,300.1199036,1,1
7,Tymen,X8,2903.4,69.19439697,9.131799698,2.25180006,2.371000051,297.756897,1,1
7,Tymen,X8,2903.5,68.96120453,9.590000153,2.165800095,2.348999977,293.6596985,1,1
7,Tymen,X8,2903.6,69.46720123,12.39930058,2.112400055,2.332499981,288.5763855,1,1
7,Tymen,X8,2903.7,69.97320557,13.89939976,2.197600126,2.319999933,283.4104919,1,1
7,Tymen,X8,2903.8,70.47920227,10.39419937,2.315600157,2.31099987,278.8826904,1,1
7,Tymen,X8,2903.9,70.98519897,9.205200195,2.433600187,2.308000088,275.3283997,1,1
7,Tymen,X8,2904,71.27559662,9.37899971,2.551599979,2.315999985,272.7473755,1,1
2,Tymen,X8,2904.1,70.70359802,9.736499786,2.656599998,2.392500162,271.0742798,1,1
2,Tymen,X8,2904.2,70.13159943,10.0447998,2.706200123,2.480000019,270.4596863,1,1
